previousids	refseqids
Tc00.1047053507873.60	XP_806120
Tc00.1047053510691.10	XP_808258
Tc00.1047053511047.50	XP_807823
Tc00.1047053511859.180	XP_815312
Tc00.1047053506661.150	XP_813984
Tc00.1047053511245.20	XP_818051
Tc00.1047053506779.50	XP_815536
Tc00.1047053511153.140	XP_813770
Tc00.1047053507019.83	XP_811258
Tc00.1047053507019.86	XP_811259
Tc00.1047053507145.79	XP_808215
Tc00.1047053507145.88	XP_808214
Tc00.1047053507217.14	XP_808982
Tc00.1047053507217.44	XP_808983
Tc00.1047053509215.16	XP_808572
Tc00.1047053510259.18	XP_805941
Tc00.1047053506781.10	XP_811689
Tc00.1047053510623.10	XP_809906
Tc00.1047053503841.40	XP_807785
Tc00.1047053511599.110	XP_814901
Tc00.1047053511603.20	XP_820751
Tc00.1047053508323.60	XP_813165
Tc00.1047053508323.70	XP_813166
Tc00.1047053511825.40	XP_816485
Tc00.1047053511825.50	XP_816486
Tc00.1047053506181.90	XP_813849
Tc00.1047053507159.60	XP_808039
Tc00.1047053507159.80	XP_808041
Tc00.1047053508965.94	XP_815146
Tc00.1047053509007.14	XP_817381
Tc00.1047053506857.90	XP_811049
Tc00.1047053509207.160	XP_813719
Tc00.1047053506963.14	XP_811581
Tc00.1047053511233.14	XP_815827
Tc00.1047053511277.175	XP_821870
Tc00.1047053504021.80	XP_815615
Tc00.1047053507677.70	XP_816659
Tc00.1047053506419.30	XP_806489
Tc00.1047053510597.20	XP_805170
Tc00.1047053506177.120	XP_813942
Tc00.1047053507989.20	XP_805979
Tc00.1047053509243.50	XP_806249
Tc00.1047053510063.10	XP_804760
Tc00.1047053511367.370	XP_819440
Tc00.1047053511369.20	XP_804709
Tc00.1047053506025.14	XP_808328
Tc00.1047053511209.54	XP_806920
Tc00.1047053511805.15	XP_804510
Tc00.1047053506559.300	XP_821785
Tc00.1047053511229.39	XP_809161
Tc00.1047053511589.190	XP_816021
Tc00.1047053506337.90	XP_815029
Tc00.1047053510717.20	XP_805401
Tc00.1047053508613.30	XP_811696
Tc00.1047053509979.14	XP_820797
Tc00.1047053504137.80	XP_813865
Tc00.1047053506657.79	XP_809131
Tc00.1047053511247.18	XP_804213
Tc00.1047053508711.30	XP_807563
Tc00.1047053509067.40	XP_808066
Tc00.1047053508541.230	XP_815860
Tc00.1047053508541.240	XP_815861
Tc00.1047053506199.5	XP_803144
Tc00.1047053507159.44	XP_808045
Tc00.1047053507159.65	XP_808047
Tc00.1047053507159.90	XP_808042
Tc00.1047053506475.116	XP_817200
Tc00.1047053511431.40	XP_813413
Tc00.1047053508277.120	XP_820272
Tc00.1047053509943.30	XP_804463
Tc00.1047053508661.34	XP_806658
Tc00.1047053510293.54	XP_806886
Tc00.1047053510357.150	XP_811865
Tc00.1047053510359.10	XP_821726
Tc00.1047053469435.4	XP_802351
Tc00.1047053508257.104	XP_818959
Tc00.1047053506945.290	XP_818992
Tc00.1047053509671.70	XP_814692
Tc00.1047053510525.110	XP_810118
Tc00.1047053510525.90	XP_810116
Tc00.1047053506817.30	XP_809804
Tc00.1047053506817.50	XP_809806
Tc00.1047053503879.30	XP_812762
Tc00.1047053509455.50	XP_814118
Tc00.1047053507233.10	XP_812850
Tc00.1047053508637.10	XP_815234
Tc00.1047053509623.19	XP_804127
Tc00.1047053510003.41	XP_809018
Tc00.1047053506815.60	XP_806035
Tc00.1047053507105.40	XP_811420
