previousids	refseqids
Tc00.1047053507047.50	XP_816372
Tc00.1047053508999.80	XP_820094
Tc00.1047053511313.40	XP_808356
Tc00.1047053507021.90	XP_811603
Tc00.1047053510283.100	XP_812505
Tc00.1047053506251.40	XP_813672
Tc00.1047053510285.70	XP_814280
Tc00.1047053507515.60	XP_814431
Tc00.1047053511023.19	XP_802813
Tc00.1047053503681.9	XP_804646
Tc00.1047053510561.7	XP_808578
Tc00.1047053510339.7	XP_811278
Tc00.1047053506257.70	XP_808979
Tc00.1047053506309.40	XP_815497
Tc00.1047053508815.60	XP_815594
Tc00.1047053504827.100	XP_815896
Tc00.1047053509399.190	XP_818088
Tc00.1047053510155.50	XP_820110
Tc00.1047053506503.80	XP_816937
Tc00.1047053506691.60	XP_810923
Tc00.1047053506727.60	XP_811430
Tc00.1047053508625.130	XP_811823
Tc00.1047053507867.5	XP_812042
Tc00.1047053507143.30	XP_812274
Tc00.1047053506793.70	XP_812427
Tc00.1047053510531.20	XP_812910
Tc00.1047053508209.159	XP_813071
Tc00.1047053506155.30	XP_813112
Tc00.1047053508465.140	XP_813958
Tc00.1047053509455.60	XP_814119
Tc00.1047053510715.150	XP_814625
Tc00.1047053509683.100	XP_815342
Tc00.1047053509023.100	XP_817037
Tc00.1047053509733.20	XP_818684
Tc00.1047053509923.9	XP_802613
Tc00.1047053503401.20	XP_805960
Tc00.1047053506291.20	XP_806152
Tc00.1047053507077.9	XP_806380
Tc00.1047053503837.5	XP_806562
Tc00.1047053508233.40	XP_806723
Tc00.1047053511355.40	XP_807882
Tc00.1047053506179.40	XP_808254
Tc00.1047053508939.60	XP_808377
Tc00.1047053506895.20	XP_808470
Tc00.1047053508241.50	XP_813327
Tc00.1047053508541.225	XP_815862
Tc00.1047053508547.90	XP_816957
Tc00.1047053509429.260	XP_820168
Tc00.1047053511585.50	XP_820364
Tc00.1047053503747.10	XP_804779
Tc00.1047053508815.100	XP_815598
Tc00.1047053506821.30	XP_815978
Tc00.1047053507993.250	XP_820615
Tc00.1047053506479.110	XP_814109
Tc00.1047053509351.10	XP_802822
Tc00.1047053508167.29	XP_802956
Tc00.1047053509225.21	XP_804040
Tc00.1047053504777.40	XP_805337
Tc00.1047053505843.24	XP_806126
Tc00.1047053509793.40	XP_807064
Tc00.1047053510911.20	XP_807504
Tc00.1047053509215.30	XP_808569
Tc00.1047053506167.30	XP_809776
Tc00.1047053506721.20	XP_809992
Tc00.1047053506275.70	XP_810178
Tc00.1047053510257.10	XP_811753
Tc00.1047053505193.110	XP_812374
Tc00.1047053506799.30	XP_813560
Tc00.1047053506355.50	XP_814823
Tc00.1047053506753.160	XP_815381
Tc00.1047053507089.270	XP_818792
Tc00.1047053510315.30	XP_804831
Tc00.1047053507689.30	XP_807348
Tc00.1047053507883.60	XP_809205
Tc00.1047053508199.70	XP_809869
Tc00.1047053507105.80	XP_811424
Tc00.1047053510535.100	XP_812694
Tc00.1047053511809.40	XP_813649
Tc00.1047053509229.90	XP_814024
Tc00.1047053509601.140	XP_814784
Tc00.1047053507801.50	XP_816311
Tc00.1047053425839.10	XP_802442
Tc00.1047053511033.10	XP_804971
Tc00.1047053511323.40	XP_807077
Tc00.1047053510371.90	XP_813429
Tc00.1047053511099.70	XP_815914
Tc00.1047053506211.140	XP_819456
Tc00.1047053509499.38	XP_806741
Tc00.1047053511237.50	XP_810277
Tc00.1047053509991.9	XP_811298
Tc00.1047053510989.10	XP_809644
Tc00.1047053506971.10	XP_808591
Tc00.1047053507951.299	XP_818134
Tc00.1047053504153.220	XP_820915
Tc00.1047053440099.10	XP_802780
Tc00.1047053506529.420	XP_821936
Tc00.1047053508215.10	XP_804974
Tc00.1047053508947.5	XP_802764
Tc00.1047053506609.80	XP_807453
Tc00.1047053507237.210	XP_819584
Tc00.1047053508909.80	XP_820507
Tc00.1047053510889.100	XP_820874
Tc00.1047053508741.200	XP_821052
Tc00.1047053506885.110	XP_821521
Tc00.1047053508873.330	XP_821712
Tc00.1047053511731.35	XP_810319
Tc00.1047053511623.10	XP_804107
Tc00.1047053510231.29	XP_805357
Tc00.1047053508535.20	XP_807321
Tc00.1047053511671.149	XP_813525
Tc00.1047053507669.100	XP_817107
Tc00.1047053508175.260	XP_820980
Tc00.1047053511183.560	XP_821914
Tc00.1047053508191.10	XP_802839
Tc00.1047053511281.20	XP_811198
Tc00.1047053425311.9	XP_802574
Tc00.1047053509995.29	XP_803021
Tc00.1047053509173.9	XP_803066
Tc00.1047053507251.30	XP_804401
Tc00.1047053510239.80	XP_809580
Tc00.1047053505939.80	XP_810013
Tc00.1047053507513.100	XP_810874
Tc00.1047053506155.80	XP_813117
Tc00.1047053509799.130	XP_814202
Tc00.1047053511871.110	XP_814767
Tc00.1047053426675.9	XP_802171
Tc00.1047053504233.50	XP_810779
Tc00.1047053510143.90	XP_811486
Tc00.1047053507691.50	XP_812283
Tc00.1047053503973.170	XP_820411
Tc00.1047053508461.250	XP_821617
Tc00.1047053511511.150	XP_817581
Tc00.1047053504163.100	XP_809375
Tc00.1047053504159.70	XP_810217
Tc00.1047053508081.60	XP_810547
Tc00.1047053506933.60	XP_812012
Tc00.1047053510371.120	XP_813432
Tc00.1047053509551.110	XP_814548
Tc00.1047053506067.270	XP_819009
Tc00.1047053509979.10	XP_820780
Tc00.1047053506773.120	XP_816607
Tc00.1047053508257.60	XP_818938
Tc00.1047053506321.300	XP_819404
Tc00.1047053508355.180	XP_821111
Tc00.1047053504147.250	XP_819845
Tc00.1047053506281.70	XP_811951
Tc00.1047053510363.90	XP_819142
Tc00.1047053506173.310	XP_820678
Tc00.1047053506401.180	XP_821272
Tc00.1047053509627.10	XP_807102
Tc00.1047053506041.50	XP_807255
Tc00.1047053509393.10	XP_807926
Tc00.1047053511547.10	XP_808393
Tc00.1047053503599.20	XP_808691
Tc00.1047053510903.20	XP_808732
Tc00.1047053506229.30	XP_809352
Tc00.1047053511483.30	XP_809507
Tc00.1047053507803.49	XP_809966
Tc00.1047053509171.60	XP_810579
Tc00.1047053506635.80	XP_814257
Tc00.1047053509023.120	XP_817039
Tc00.1047053506479.130	XP_814111
Tc00.1047053506401.160	XP_821270
Tc00.1047053506931.10	XP_808622
Tc00.1047053508707.200	XP_820714
Tc00.1047053503431.100	XP_809246
Tc00.1047053509693.70	XP_816916
Tc00.1047053511303.60	XP_817357
Tc00.1047053506489.30	XP_805121
Tc00.1047053505945.20	XP_809046
Tc00.1047053510181.60	XP_812435
Tc00.1047053507941.110	XP_812822
Tc00.1047053508737.40	XP_817669
Tc00.1047053508369.50	XP_806418
Tc00.1047053510187.270	XP_821489
Tc00.1047053507875.20	XP_818855
Tc00.1047053510595.58	XP_805918
Tc00.1047053510483.60	XP_820458
Tc00.1047053510193.10	XP_802772
Tc00.1047053506935.10	XP_802873
Tc00.1047053509935.10	XP_803160
Tc00.1047053503885.10	XP_809300
Tc00.1047053511711.50	XP_809732
Tc00.1047053511171.90	XP_809910
Tc00.1047053509527.130	XP_813727
Tc00.1047053509777.64	XP_814235
Tc00.1047053511717.174	XP_814661
Tc00.1047053511419.20	XP_808143
Tc00.1047053506559.380	XP_821799
Tc00.1047053506315.70	XP_810254
Tc00.1047053503773.9	XP_805612
Tc00.1047053507663.80	XP_809328
Tc00.1047053507519.110	XP_816099
Tc00.1047053508413.20	XP_808859
Tc00.1047053510629.450	XP_821330
Tc00.1047053506529.170	XP_821945
Tc00.1047053510599.30	XP_809133
Tc00.1047053511491.30	XP_813888
Tc00.1047053511493.10	XP_802753
Tc00.1047053508387.130	XP_816547
Tc00.1047053511725.270	XP_818736
Tc00.1047053508781.120	XP_811625
Tc00.1047053508197.39	XP_803252
Tc00.1047053508441.40	XP_811629
Tc00.1047053511555.90	XP_813234
Tc00.1047053511153.50	XP_813761
Tc00.1047053510527.9	XP_803038
Tc00.1047053503467.20	XP_804497
Tc00.1047053511501.30	XP_805965
Tc00.1047053511609.30	XP_806630
Tc00.1047053506697.10	XP_808844
Tc00.1047053510799.70	XP_809955
Tc00.1047053505025.30	XP_814559
Tc00.1047053510575.180	XP_815360
Tc00.1047053508299.50	XP_811021
Tc00.1047053503619.29	XP_804376
Tc00.1047053510463.150	XP_819651
Tc00.1047053444331.10	XP_802257
Tc00.1047053509237.40	XP_814631
Tc00.1047053508799.130	XP_819802
Tc00.1047053510187.120	XP_821476
Tc00.1047053460127.20	XP_805036
Tc00.1047053509197.50	XP_806108
Tc00.1047053509115.20	XP_807850
Tc00.1047053506319.10	XP_810320
Tc00.1047053511817.100	XP_819357
Tc00.1047053508277.130	XP_820273
Tc00.1047053506885.320	XP_821534
Tc00.1047053508153.680	XP_822097
Tc00.1047053509377.20	XP_805751
Tc00.1047053510359.69	XP_821773
Tc00.1047053506545.10	XP_802651
Tc00.1047053507275.70	XP_809417
Tc00.1047053508443.40	XP_809271
Tc00.1047053510769.10	XP_817434
Tc00.1047053510901.180	XP_819031
Tc00.1047053508163.360	XP_821445
Tc00.1047053508455.20	XP_806427
Tc00.1047053508321.60	XP_807180
Tc00.1047053510423.70	XP_808106
Tc00.1047053510945.20	XP_808308
Tc00.1047053506713.14	XP_808667
Tc00.1047053503959.60	XP_808889
Tc00.1047053511523.60	XP_809404
Tc00.1047053510903.60	XP_808736
Tc00.1047053508613.20	XP_811695
Tc00.1047053508153.1050	XP_822094
Tc00.1047053505101.30	XP_805246
Tc00.1047053511895.60	XP_807495
Tc00.1047053509021.9	XP_802328
Tc00.1047053508691.20	XP_804014
Tc00.1047053507247.14	XP_804434
Tc00.1047053506065.21	XP_805358
Tc00.1047053510183.10	XP_806717
Tc00.1047053506963.90	XP_811578
Tc00.1047053506517.14	XP_812362
Tc00.1047053506737.70	XP_813577
Tc00.1047053510715.20	XP_814620
Tc00.1047053508919.189	XP_815134
Tc00.1047053506189.20	XP_803298
Tc00.1047053503619.10	XP_804374
Tc00.1047053506207.20	XP_806356
Tc00.1047053509615.60	XP_808561
Tc00.1047053508065.70	XP_810503
Tc00.1047053509171.20	XP_810577
Tc00.1047053506221.90	XP_810732
Tc00.1047053506009.100	XP_813045
Tc00.1047053510265.30	XP_813824
Tc00.1047053511867.180	XP_814965
Tc00.1047053508075.7	XP_806426
Tc00.1047053511075.50	XP_807388
Tc00.1047053508759.40	XP_808082
Tc00.1047053503599.10	XP_808690
Tc00.1047053503733.10	XP_811235
Tc00.1047053506351.35	XP_810247
Tc00.1047053507691.10	XP_812281
Tc00.1047053506799.40	XP_813561
Tc00.1047053506401.12	XP_821292
Tc00.1047053510581.9	XP_804154
Tc00.1047053510825.20	XP_803463
Tc00.1047053507949.110	XP_817160
Tc00.1047053509599.110	XP_816168
Tc00.1047053506475.120	XP_817197
Tc00.1047053506241.124	XP_817896
Tc00.1047053504131.170	XP_815531
Tc00.1047053506989.155	XP_818658
Tc00.1047053508999.30	XP_820090
Tc00.1047053508873.470	XP_821719
Tc00.1047053507809.140	XP_817426
Tc00.1047053504147.310	XP_819819
Tc00.1047053508591.10	XP_804632
Tc00.1047053508815.10	XP_815589
Tc00.1047053511589.74	XP_816028
Tc00.1047053507953.140	XP_816823
Tc00.1047053504741.124	XP_817796
Tc00.1047053508831.90	XP_818923
Tc00.1047053504427.230	XP_819490
Tc00.1047053506435.300	XP_821022
Tc00.1047053511173.50	XP_821377
Tc00.1047053510359.300	XP_821752
Tc00.1047053511367.330	XP_819436
Tc00.1047053422207.10	XP_802259
Tc00.1047053510463.100	XP_819648
Tc00.1047053507483.50	XP_808090
Tc00.1047053509099.5	XP_816089
Tc00.1047053508805.80	XP_809584
Tc00.1047053511701.10	XP_802986
Tc00.1047053510657.120	XP_817181
Tc00.1047053507089.80	XP_818776
Tc00.1047053508799.100	XP_819799
Tc00.1047053508479.216	XP_820847
Tc00.1047053509499.20	XP_806738
Tc00.1047053507623.110	XP_813009
Tc00.1047053506683.240	XP_819384
Tc00.1047053509293.10	XP_803227
Tc00.1047053510469.10	XP_806571
Tc00.1047053506239.60	XP_807735
Tc00.1047053511733.10	XP_810055
Tc00.1047053506267.60	XP_812048
Tc00.1047053509999.20	XP_814904
Tc00.1047053503989.60	XP_810388
Tc00.1047053508537.5	XP_802550
Tc00.1047053416605.30	XP_804334
Tc00.1047053505009.4	XP_805316
Tc00.1047053511145.60	XP_808225
Tc00.1047053511019.120	XP_814031
Tc00.1047053511867.120	XP_814959
Tc00.1047053506499.230	XP_817871
Tc00.1047053509949.9	XP_804435
Tc00.1047053506095.9	XP_805186
Tc00.1047053506691.40	XP_810921
Tc00.1047053508859.109	XP_812081
Tc00.1047053511285.100	XP_813757
Tc00.1047053505037.50	XP_814463
Tc00.1047053510013.190	XP_818526
Tc00.1047053506557.10	XP_805087
Tc00.1047053509565.9	XP_805981
Tc00.1047053503653.9	XP_807410
Tc00.1047053510423.60	XP_808105
Tc00.1047053510323.80	XP_810971
Tc00.1047053511511.50	XP_817573
Tc00.1047053511603.100	XP_820758
Tc00.1047053506529.100	XP_821931
Tc00.1047053509401.30	XP_803044
Tc00.1047053509697.39	XP_805827
Tc00.1047053509627.40	XP_807105
Tc00.1047053508507.24	XP_807603
Tc00.1047053510437.45	XP_808079
Tc00.1047053508239.10	XP_808490
Tc00.1047053506933.24	XP_812020
Tc00.1047053505071.50	XP_812869
Tc00.1047053510265.90	XP_813828
Tc00.1047053510797.20	XP_807184
Tc00.1047053507071.50	XP_821135
Tc00.1047053510087.90	XP_811556
Tc00.1047053510877.50	XP_816397
Tc00.1047053510145.59	XP_806103
Tc00.1047053511575.10	XP_813363
Tc00.1047053510061.11	XP_807360
Tc00.1047053507805.20	XP_802831
Tc00.1047053510427.5	XP_803136
Tc00.1047053503833.30	XP_805775
Tc00.1047053508089.60	XP_807313
Tc00.1047053507773.60	XP_807546
Tc00.1047053508055.30	XP_808396
Tc00.1047053503479.30	XP_810144
Tc00.1047053507687.20	XP_813026
Tc00.1047053511287.34	XP_814366
Tc00.1047053509105.94	XP_814895
Tc00.1047053506947.90	XP_811232
Tc00.1047053508761.110	XP_818312
Tc00.1047053509713.20	XP_805762
Tc00.1047053509555.10	XP_807459
Tc00.1047053504043.10	XP_802617
Tc00.1047053504247.30	XP_807906
Tc00.1047053506905.59	XP_806927
Tc00.1047053511131.20	XP_811261
Tc00.1047053511545.80	XP_815670
Tc00.1047053510661.160	XP_818028
Tc00.1047053506773.70	XP_816602
Tc00.1047053506989.130	XP_818646
Tc00.1047053506945.280	XP_818991
Tc00.1047053412435.10	XP_802209
Tc00.1047053510287.50	XP_805681
Tc00.1047053506487.60	XP_807753
Tc00.1047053506567.34	XP_811850
Tc00.1047053506519.110	XP_813106
Tc00.1047053509777.130	XP_814233
Tc00.1047053509777.70	XP_814228
Tc00.1047053506825.219	XP_819764
Tc00.1047053506559.500	XP_821815
Tc00.1047053509317.109	XP_809195
Tc00.1047053510761.60	XP_813341
Tc00.1047053507625.80	XP_816239
Tc00.1047053509287.30	XP_820059
Tc00.1047053510047.120	XP_811305
Tc00.1047053509693.80	XP_816917
Tc00.1047053506739.200	XP_817072
Tc00.1047053508761.270	XP_818318
Tc00.1047053509875.80	XP_820072
Tc00.1047053507527.10	XP_807412
Tc00.1047053509157.220	XP_817639
Tc00.1047053510303.204	XP_819620
Tc00.1047053508873.224	XP_821724
Tc00.1047053507019.30	XP_811245
Tc00.1047053506409.30	XP_818224
Tc00.1047053511797.220	XP_818474
Tc00.1047053510741.80	XP_817017
Tc00.1047053511421.190	XP_818808
Tc00.1047053506357.130	XP_819271
Tc00.1047053506401.330	XP_821285
Tc00.1047053511277.50	XP_821875
Tc00.1047053506529.360	XP_821926
Tc00.1047053506529.224	XP_821973
Tc00.1047053510759.80	XP_817231
Tc00.1047053511725.130	XP_818724
Tc00.1047053510957.9	XP_802398
Tc00.1047053508661.50	XP_806655
Tc00.1047053508043.10	XP_807911
Tc00.1047053509797.30	XP_808553
Tc00.1047053507927.100	XP_809544
Tc00.1047053510165.50	XP_810880
Tc00.1047053511417.40	XP_811091
Tc00.1047053506175.25	XP_812892
Tc00.1047053511553.120	XP_813880
Tc00.1047053511599.40	XP_814898
Tc00.1047053509769.110	XP_814999
Tc00.1047053507259.10	XP_802803
Tc00.1047053504023.10	XP_803320
Tc00.1047053504037.10	XP_804283
Tc00.1047053503727.10	XP_805423
Tc00.1047053509443.39	XP_806006
Tc00.1047053510529.20	XP_806383
Tc00.1047053508661.10	XP_806651
Tc00.1047053511537.50	XP_809379
Tc00.1047053504233.60	XP_810780
Tc00.1047053507021.80	XP_811602
Tc00.1047053509561.20	XP_812556
Tc00.1047053509455.110	XP_814124
Tc00.1047053504213.120	XP_814215
Tc00.1047053510629.430	XP_821328
Tc00.1047053468283.9	XP_802365
Tc00.1047053463279.20	XP_804173
Tc00.1047053507793.10	XP_804996
Tc00.1047053511597.10	XP_805213
Tc00.1047053503759.10	XP_805881
Tc00.1047053511453.10	XP_807085
Tc00.1047053507159.41	XP_808046
Tc00.1047053506389.60	XP_808680
Tc00.1047053506171.10	XP_809572
Tc00.1047053508273.80	XP_811398
Tc00.1047053503613.40	XP_807205
Tc00.1047053507057.50	XP_806645
Tc00.1047053506779.20	XP_815535
Tc00.1047053508307.70	XP_817130
Tc00.1047053511237.10	XP_810274
Tc00.1047053504157.110	XP_813539
Tc00.1047053511529.68	XP_815745
Tc00.1047053507049.66	XP_816432
Tc00.1047053506775.160	XP_816981
Tc00.1047053508647.110	XP_818245
Tc00.1047053506577.110	XP_816887
Tc00.1047053507949.120	XP_817161
Tc00.1047053511817.240	XP_819368
Tc00.1047053508741.370	XP_821068
Tc00.1047053506529.314	XP_821974
Tc00.1047053511217.180	XP_818338
Tc00.1047053511025.30	XP_812287
Tc00.1047053506147.9	XP_817608
Tc00.1047053506581.50	XP_807025
Tc00.1047053508593.110	XP_815715
Tc00.1047053506147.110	XP_817596
Tc00.1047053506625.84	XP_817989
Tc00.1047053507959.80	XP_819245
Tc00.1047053506989.250	XP_818654
Tc00.1047053508409.30	XP_818836
Tc00.1047053504017.54	XP_808056
Tc00.1047053509065.130	XP_813801
Tc00.1047053511075.9	XP_807392
Tc00.1047053511797.200	XP_818473
Tc00.1047053509079.20	XP_803490
Tc00.1047053508945.10	XP_804450
Tc00.1047053507759.10	XP_804902
Tc00.1047053511133.30	XP_806292
Tc00.1047053509803.10	XP_809568
Tc00.1047053506221.30	XP_810727
Tc00.1047053504055.40	XP_812527
Tc00.1047053508247.40	XP_812947
Tc00.1047053507467.30	XP_814042
Tc00.1047053508919.110	XP_815130
Tc00.1047053510569.10	XP_804186
Tc00.1047053511713.9	XP_805284
Tc00.1047053506985.60	XP_808099
Tc00.1047053510805.70	XP_807591
Tc00.1047053511857.30	XP_809756
Tc00.1047053506163.30	XP_810186
Tc00.1047053508897.30	XP_810886
Tc00.1047053510667.30	XP_813130
Tc00.1047053506959.120	XP_814140
Tc00.1047053476733.29	XP_804358
Tc00.1047053509509.69	XP_806449
Tc00.1047053506605.30	XP_818160
Tc00.1047053507357.35	XP_812248
Tc00.1047053504021.10	XP_815608
Tc00.1047053469435.10	XP_802350
Tc00.1047053508893.30	XP_805034
Tc00.1047053419469.30	XP_803315
Tc00.1047053507809.160	XP_817428
Tc00.1047053504157.100	XP_813538
Tc00.1047053506985.50	XP_808098
Tc00.1047053510963.70	XP_809039
Tc00.1047053509233.80	XP_817829
Tc00.1047053506811.180	XP_818214
Tc00.1047053507071.20	XP_821134
Tc00.1047053508153.820	XP_822125
Tc00.1047053464879.9	XP_802148
Tc00.1047053504827.170	XP_815902
Tc00.1047053509331.110	XP_816781
Tc00.1047053508173.180	XP_818275
Tc00.1047053508059.40	XP_806994
Tc00.1047053511625.4	XP_813503
Tc00.1047053506303.50	XP_815791
Tc00.1047053506605.200	XP_818174
Tc00.1047053508207.74	XP_818435
Tc00.1047053507957.150	XP_819546
Tc00.1047053504153.260	XP_820919
Tc00.1047053508461.70	XP_821668
Tc00.1047053506195.40	XP_819098
Tc00.1047053420719.9	XP_802356
Tc00.1047053509837.30	XP_806064
Tc00.1047053503827.100	XP_812607
Tc00.1047053510901.60	XP_819019
Tc00.1047053508815.90	XP_815597
Tc00.1047053511119.10	XP_803311
Tc00.1047053509799.20	XP_814191
Tc00.1047053510725.40	XP_808961
Tc00.1047053507519.154	XP_816107
Tc00.1047053510089.120	XP_816803
Tc00.1047053506961.150	XP_818394
Tc00.1047053510307.230	XP_820183
Tc00.1047053507093.10	XP_820528
Tc00.1047053504153.129	XP_820930
Tc00.1047053510921.40	XP_804956
Tc00.1047053509715.9	XP_813459
Tc00.1047053511587.10	XP_813122
Tc00.1047053504073.30	XP_804651
Tc00.1047053510347.29	XP_807764
Tc00.1047053507897.40	XP_806811
Tc00.1047053507031.90	XP_817254
Tc00.1047053509979.230	XP_820793
Tc00.1047053508369.20	XP_806417
Tc00.1047053509149.60	XP_808122
Tc00.1047053509337.19	XP_804078
Tc00.1047053509117.10	XP_802941
Tc00.1047053508943.40	XP_805806
Tc00.1047053503393.10	XP_802140
Tc00.1047053509055.69	XP_806871
Tc00.1047053510003.9	XP_809017
Tc00.1047053510599.40	XP_809134
Tc00.1047053511021.20	XP_811315
Tc00.1047053506363.110	XP_811386
Tc00.1047053506127.130	XP_816196
Tc00.1047053506775.170	XP_816982
Tc00.1047053510105.50	XP_819884
Tc00.1047053506855.150	XP_820575
Tc00.1047053506667.10	XP_815505
Tc00.1047053506821.210	XP_815994
Tc00.1047053507641.130	XP_819519
Tc00.1047053508641.250	XP_819782
Tc00.1047053510889.130	XP_820877
Tc00.1047053508461.380	XP_821630
Tc00.1047053511407.70	XP_810464
Tc00.1047053509611.120	XP_814800
Tc00.1047053506657.20	XP_809127
Tc00.1047053511577.19	XP_815438
Tc00.1047053507047.110	XP_816378
Tc00.1047053510877.80	XP_816400
Tc00.1047053506499.80	XP_817858
Tc00.1047053507603.90	XP_818562
Tc00.1047053507197.20	XP_804653
Tc00.1047053506275.90	XP_810180
Tc00.1047053504099.10	XP_811682
Tc00.1047053507001.140	XP_812980
Tc00.1047053506835.80	XP_813549
Tc00.1047053507991.20	XP_814498
Tc00.1047053509601.110	XP_814781
Tc00.1047053403789.9	XP_802147
Tc00.1047053508473.10	XP_804818
Tc00.1047053507165.40	XP_805192
Tc00.1047053503637.10	XP_806386
Tc00.1047053506413.50	XP_806957
Tc00.1047053509521.70	XP_807423
Tc00.1047053510207.40	XP_809199
Tc00.1047053506769.90	XP_812836
Tc00.1047053511717.20	XP_814642
Tc00.1047053505999.70	XP_816058
Tc00.1047053507953.210	XP_816829
Tc00.1047053504741.20	XP_817773
Tc00.1047053506201.150	XP_813387
Tc00.1047053504827.70	XP_815893
Tc00.1047053510657.220	XP_817189
Tc00.1047053510021.50	XP_818186
Tc00.1047053510155.60	XP_820111
Tc00.1047053504081.460	XP_821418
Tc00.1047053510679.60	XP_807128
Tc00.1047053509877.50	XP_807342
Tc00.1047053510323.4	XP_810975
Tc00.1047053508273.91	XP_811402
Tc00.1047053503925.3	XP_811464
Tc00.1047053511291.40	XP_811940
Tc00.1047053506223.110	XP_812941
Tc00.1047053507017.30	XP_813082
Tc00.1047053505183.90	XP_814415
Tc00.1047053471403.9	XP_804300
Tc00.1047053410923.20	XP_804913
Tc00.1047053508373.10	XP_805210
Tc00.1047053507507.30	XP_805543
Tc00.1047053503629.10	XP_803147
Tc00.1047053508225.4	XP_804066
Tc00.1047053506483.60	XP_809086
Tc00.1047053511801.44	XP_810336
Tc00.1047053506443.30	XP_815554
Tc00.1047053511755.10	XP_814398
Tc00.1047053510759.54	XP_817243
Tc00.1047053503559.90	XP_812023
Tc00.1047053507007.76	XP_813704
Tc00.1047053509753.110	XP_819129
Tc00.1047053504105.170	XP_819703
Tc00.1047053506885.70	XP_821518
Tc00.1047053510625.109	XP_819542
Tc00.1047053508053.10	XP_803344
Tc00.1047053510103.24	XP_805242
Tc00.1047053508503.90	XP_808417
Tc00.1047053511857.10	XP_809754
Tc00.1047053510731.80	XP_810398
Tc00.1047053506493.60	XP_812668
Tc00.1047053511643.4	XP_812795
Tc00.1047053511587.75	XP_813127
Tc00.1047053508045.40	XP_814241
Tc00.1047053456021.10	XP_802196
Tc00.1047053511283.310	XP_820956
Tc00.1047053509295.50	XP_814836
Tc00.1047053506811.190	XP_818215
Tc00.1047053506945.240	XP_818987
Tc00.1047053511531.30	XP_807855
Tc00.1047053510475.100	XP_810745
Tc00.1047053511127.274	XP_821373
Tc00.1047053508633.20	XP_813143
Tc00.1047053411427.10	XP_804670
Tc00.1047053511463.4	XP_803156
Tc00.1047053509205.60	XP_810303
Tc00.1047053511291.129	XP_811948
Tc00.1047053506211.259	XP_819470
Tc00.1047053504199.30	XP_806145
Tc00.1047053508693.160	XP_817810
Tc00.1047053511075.60	XP_807389
Tc00.1047053511393.60	XP_808873
Tc00.1047053510095.50	XP_813569
Tc00.1047053508677.150	XP_812757
Tc00.1047053503859.40	XP_805758
Tc00.1047053506405.10	XP_812735
Tc00.1047053506601.40	XP_805493
Tc00.1047053511323.50	XP_807078
Tc00.1047053503479.10	XP_810143
Tc00.1047053511757.20	XP_811686
Tc00.1047053509895.50	XP_812232
Tc00.1047053510933.80	XP_815151
Tc00.1047053506553.30	XP_804292
Tc00.1047053508949.30	XP_805673
Tc00.1047053510111.20	XP_807454
Tc00.1047053510763.109	XP_808287
Tc00.1047053509331.180	XP_816785
Tc00.1047053509773.20	XP_803041
Tc00.1047053509893.10	XP_805163
Tc00.1047053511429.20	XP_805328
Tc00.1047053506841.12	XP_805579
Tc00.1047053503757.30	XP_805890
Tc00.1047053510669.20	XP_804598
Tc00.1047053508727.30	XP_806478
Tc00.1047053511041.4	XP_808011
Tc00.1047053509725.139	XP_810831
Tc00.1047053507735.69	XP_812100
Tc00.1047053509915.20	XP_814879
Tc00.1047053506357.140	XP_819272
Tc00.1047053509381.10	XP_803945
Tc00.1047053506153.10	XP_805455
Tc00.1047053511413.19	XP_805718
Tc00.1047053507029.60	XP_806223
Tc00.1047053511163.50	XP_806347
Tc00.1047053508819.30	XP_807212
Tc00.1047053509745.40	XP_808115
Tc00.1047053510635.10	XP_808432
Tc00.1047053507683.30	XP_808723
Tc00.1047053508441.60	XP_811631
Tc00.1047053510699.100	XP_812733
Tc00.1047053507831.20	XP_814066
Tc00.1047053504213.110	XP_814214
Tc00.1047053511717.120	XP_814652
Tc00.1047053510575.5	XP_815367
Tc00.1047053505009.49	XP_805317
Tc00.1047053504163.50	XP_809370
Tc00.1047053506425.160	XP_815458
Tc00.1047053510025.150	XP_817620
Tc00.1047053508165.14	XP_820499
Tc00.1047053511807.160	XP_820430
Tc00.1047053511751.160	XP_818503
Tc00.1047053510219.40	XP_804859
Tc00.1047053506975.63	XP_813617
Tc00.1047053507959.41	XP_819260
Tc00.1047053508741.350	XP_821066
Tc00.1047053508669.21	XP_806980
Tc00.1047053503939.84	XP_815264
Tc00.1047053508459.18	XP_802213
Tc00.1047053508257.204	XP_818960
Tc00.1047053510901.160	XP_819029
Tc00.1047053507711.40	XP_819850
Tc00.1047053510889.340	XP_820892
Tc00.1047053511277.614	XP_821865
Tc00.1047053510279.250	XP_821086
Tc00.1047053507057.60	XP_806646
Tc00.1047053505773.20	XP_808317
Tc00.1047053506285.10	XP_813211
Tc00.1047053511019.84	XP_814033
Tc00.1047053504431.64	XP_810170
Tc00.1047053506405.70	XP_812741
Tc00.1047053507683.10	XP_808722
Tc00.1047053509167.30	XP_816702
Tc00.1047053503891.90	XP_809749
Tc00.1047053504157.20	XP_813530
Tc00.1047053507953.70	XP_816819
Tc00.1047053508173.54	XP_818283
Tc00.1047053507669.120	XP_817109
Tc00.1047053507875.60	XP_818858
Tc00.1047053507681.60	XP_818591
Tc00.1047053511529.140	XP_815732
Tc00.1047053508257.170	XP_818949
